HUTTON	NNP	I-NP	I-NP
Inc	NNP	I-NP	I-NP
.	.	O	O

Thomas	NNP	B-NP	B-NP
E.	NNP	I-NP	I-NP
Meador	NNP	I-NP	I-NP
,	,	O	O
42	CD	B-NP	B-NP
years	NNS	I-NP	I-NP
old	JJ	B-ADJP	I-NP
,	,	O	O
was	VBD	B-VP	B-VP
named	VBN	I-VP	B-NP
president	NN	B-NP	I-NP
and	CC	O	I-NP
chief	JJ	B-NP	I-NP
operating	VBG	I-NP	I-NP
officer	NN	I-NP	I-NP
of	IN	B-PP	B-PP
Balcor	NNP	B-NP	B-NP
Co.	NNP	I-NP	I-NP
,	,	O	O
a	DT	B-NP	B-NP
Skokie	NNP	I-NP	I-NP
,	,	I-NP	O
Ill.	NNP	I-NP	B-NP
,	,	I-NP	I-NP
subsidiary	NN	I-NP	I-NP
of	IN	B-PP	B-PP
this	DT	B-NP	B-NP
New	NNP	I-NP	I-NP
York	NNP	I-NP	I-NP
investment	NN	I-NP	I-NP
banking	NN	I-NP	I-NP
firm	NN	I-NP	I-NP
.	.	O	O

Balcor	NNP	B-NP	B-NP
,	,	O	O
which	WDT	B-NP	B-NP
has	VBZ	B-VP	B-VP
interests	NNS	B-NP	I-VP
in	IN	B-PP	B-PP
real	JJ	B-NP	B-NP
estate	NN	I-NP	I-NP
,	,	O	O
said	VBD	B-VP	B-VP
the	DT	B-NP	B-NP
position	NN	I-NP	I-NP
is	VBZ	B-VP	B-VP
newly	RB	I-VP	B-NP
created	VBN	I-VP	I-NP
.	.	O	O

Mr.	NNP	B-NP	B-NP
Meador	NNP	I-NP	I-NP
had	VBD	B-VP	I-NP
been	VBN	I-VP	I-NP
executive	JJ	B-NP	I-NP
vice	NN	I-NP	I-NP
president	NN	I-NP	I-NP
of	IN	B-PP	B-PP
Balcor	NNP	B-NP	B-NP
.	.	O	O

In	IN	B-PP	B-PP
addition	NN	B-NP	B-NP
to	TO	B-PP	B-VP
his	PRP$	B-NP	I-VP
previous	JJ	I-NP	B-NP
real-estate	NN	I-NP	I-NP
investment	NN	I-NP	I-NP
and	CC	I-NP	I-NP
asset-management	NN	I-NP	I-NP
duties	NNS	I-NP	I-NP
,	,	O	O
Mr.	NNP	B-NP	B-NP
Meador	NNP	I-NP	I-NP
takes	VBZ	B-VP	I-NP
responsibility	NN	B-NP	I-NP
for	IN	B-PP	B-PP
development	NN	B-NP	B-NP
and	CC	O	I-NP
property	NN	B-NP	I-NP
management	NN	I-NP	I-NP
.	.	O	O

Those	DT	B-NP	B-NP
duties	NNS	I-NP	I-NP
had	VBD	B-VP	I-NP
been	VBN	I-VP	I-NP
held	VBN	I-VP	I-NP
by	IN	B-PP	B-PP
Van	NNP	B-NP	B-NP
Pell	NNP	I-NP	I-NP
,	,	O	O
44	CD	B-NP	B-NP
,	,	O	O
who	WP	B-NP	B-NP
resigned	VBD	B-VP	I-NP
as	IN	B-PP	B-PP
an	DT	B-NP	B-NP
executive	JJ	I-NP	I-NP
vice	NN	I-NP	I-NP
president	NN	I-NP	I-NP
.	.	O	O

Shearson	NNP	B-NP	B-NP
is	VBZ	B-VP	B-VP
about	IN	B-ADJP	B-NP
60%-held	JJ	I-ADJP	I-NP
by	IN	B-PP	B-PP
American	NNP	B-NP	B-NP
Express	NNP	I-NP	I-NP
Co	NNP	I-NP	I-NP
.	.	O	O

Great	NNP	B-NP	B-NP
American	NNP	I-NP	I-NP
Bank	NNP	I-NP	I-NP
,	,	O	O
citing	VBG	B-VP	B-NP
depressed	JJ	B-NP	I-NP
Arizona	NNP	I-NP	I-NP
real	JJ	I-NP	I-NP
estate	NN	I-NP	I-NP
prices	NNS	I-NP	I-NP
,	,	O	O
posted	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
third-quarter	JJ	I-NP	I-NP
loss	NN	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
59.4	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
or	CC	O	O
$	$	B-NP	B-NP
2.48	CD	I-NP	I-NP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
.	.	O	O

A	DT	B-NP	B-NP
year	NN	I-NP	I-NP
earlier	RBR	B-ADVP	I-NP
,	,	O	O
the	DT	B-NP	B-NP
savings	NNS	I-NP	I-NP
bank	VBP	I-NP	I-NP
had	VBD	B-VP	I-NP
earnings	NNS	B-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
8.1	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
or	CC	O	O
33	CD	B-NP	B-NP
cents	NNS	I-NP	B-VP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
.	.	O	O

For	IN	B-PP	B-PP
the	DT	B-NP	B-NP
nine	CD	I-NP	I-NP
months	NNS	I-NP	I-NP
,	,	O	O
it	PRP	B-NP	B-NP
had	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
loss	NN	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
58.3	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
or	CC	O	O
$	$	B-NP	B-NP
2.44	CD	I-NP	I-NP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
,	,	O	O
after	IN	B-PP	B-NP
earnings	NNS	B-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
29.5	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
or	CC	O	O
$	$	B-NP	B-NP
1.20	CD	I-NP	I-NP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
,	,	O	O
in	IN	B-PP	B-PP
the	DT	B-NP	B-NP
1988	CD	I-NP	I-NP
period	NN	I-NP	I-NP
.	.	O	O

Great	NNP	B-NP	B-NP
American	NNP	I-NP	I-NP
said	VBD	B-VP	B-VP
it	PRP	B-NP	B-NP
increased	VBD	B-VP	B-VP
its	PRP$	B-NP	B-NP
loan-loss	NN	I-NP	I-NP
reserves	NNS	I-NP	I-NP
by	IN	B-PP	B-PP
$	$	B-NP	B-NP
93	CD	I-NP	I-NP
million	CD	I-NP	I-NP
after	IN	B-PP	B-PP
reviewing	VBG	B-VP	B-NP
its	PRP$	B-NP	I-NP
loan	NN	I-NP	I-NP
portfolio	NN	I-NP	I-NP
,	,	O	O
raising	VBG	B-VP	B-VP
its	PRP$	B-NP	B-NP
total	JJ	I-NP	I-NP
loan	NN	I-NP	I-NP
and	CC	I-NP	O
real	JJ	I-NP	B-NP
estate	NN	I-NP	I-NP
reserves	NNS	I-NP	I-NP
to	TO	B-PP	B-PP
$	$	B-NP	B-NP
217	CD	I-NP	I-NP
million	CD	I-NP	I-NP
.	.	O	O

Before	IN	B-PP	B-PP
the	DT	B-NP	B-NP
loan-loss	NN	I-NP	I-NP
addition	NN	I-NP	I-NP
,	,	O	O
it	PRP	B-NP	B-NP
said	VBD	B-VP	B-VP
,	,	O	O
it	PRP	B-NP	B-NP
had	VBD	B-VP	B-VP
operating	VBG	B-NP	B-NP
profit	NN	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
10	CD	I-NP	I-NP
million	CD	I-NP	I-NP
for	IN	B-PP	B-PP
the	DT	B-NP	B-NP
quarter	NN	I-NP	I-NP
.	.	O	O

The	DT	B-NP	B-NP
move	NN	I-NP	I-NP
followed	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
round	NN	I-NP	I-NP
of	IN	B-PP	B-PP
similar	JJ	B-NP	B-NP
increases	NNS	I-NP	I-NP
by	IN	B-PP	B-PP
other	JJ	B-NP	B-NP
lenders	NNS	I-NP	I-NP
against	IN	B-PP	I-NP
Arizona	NNP	B-NP	I-NP
real	JJ	I-NP	I-NP
estate	NN	I-NP	I-NP
loans	NNS	I-NP	I-NP
,	,	O	O
reflecting	VBG	B-VP	B-VP
a	DT	B-NP	B-NP
continuing	VBG	I-NP	I-NP
decline	NN	I-NP	I-NP
in	IN	B-PP	B-PP
that	DT	B-NP	B-NP
market	NN	I-NP	I-NP
.	.	O	O

In	IN	B-PP	B-NP
addition	NN	B-NP	I-NP
to	TO	B-PP	B-PP
the	DT	B-NP	B-NP
increased	VBN	I-NP	I-NP
reserve	NN	I-NP	I-NP
,	,	O	O
the	DT	B-NP	B-NP
savings	NNS	I-NP	I-NP
bank	VBP	I-NP	I-NP
took	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
special	JJ	I-NP	I-NP
charge	NN	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
5	NN	I-NP	I-NP
million	CD	I-NP	I-NP
representing	VBG	B-VP	I-NP
general	JJ	B-NP	I-NP
and	CC	I-NP	I-NP
administrative	JJ	I-NP	I-NP
expenses	NNS	I-NP	I-NP
from	IN	B-PP	B-PP
staff	NN	B-NP	B-NP
reductions	NNS	I-NP	I-NP
and	CC	O	O
other	JJ	B-NP	B-NP
matters	NNS	I-NP	I-NP
,	,	O	O
and	CC	O	O
it	PRP	B-NP	B-NP
posted	VBD	B-VP	B-VP
a	DT	B-NP	B-NP
$	$	I-NP	I-NP
7.6	CD	I-NP	I-NP
million	CD	I-NP	I-NP
reduction	NN	I-NP	I-NP
in	IN	B-PP	B-PP
expected	VBN	B-NP	B-NP
mortgage	NN	I-NP	I-NP
servicing	NN	I-NP	I-NP
fees	NNS	I-NP	I-NP
,	,	O	O
reflecting	VBG	B-VP	B-VP
the	DT	B-NP	B-NP
fact	NN	I-NP	I-NP
that	IN	B-SBAR	B-SBAR
more	JJR	B-NP	B-NP
borrowers	NNS	I-NP	I-NP
are	VBP	B-VP	B-VP
prepaying	VBG	I-VP	I-VP
their	PRP$	B-NP	B-NP
mortgages	NNS	I-NP	I-NP
.	.	O	O

Arbitragers	NNS	B-NP	B-NP
were	VBD	B-VP	B-VP
n't	RB	O	I-VP
the	DT	B-NP	B-NP
only	RB	I-NP	I-NP
big	JJ	I-NP	I-NP
losers	NNS	I-NP	I-NP
in	IN	B-PP	B-PP
the	DT	B-NP	B-NP
collapse	NN	I-NP	I-NP
of	IN	B-PP	B-PP
UAL	NNP	B-NP	B-NP
Corp.	NNP	I-NP	I-NP
stock	NN	I-NP	I-NP
.	.	O	O

Look	VB	B-VP	B-NP
at	IN	B-PP	B-PP
what	WP	B-NP	B-NP
happened	VBD	B-VP	I-NP
to	TO	B-PP	B-VP
UAL	NNP	B-NP	I-VP
's	POS	B-NP	B-NP
chairman	NN	I-NP	I-NP
,	,	O	O
Stephen	NNP	B-NP	B-NP
M.	NNP	I-NP	I-NP
Wolf	NNP	I-NP	I-NP
,	,	O	O
and	CC	O	O
its	PRP$	B-NP	B-NP
chief	JJ	I-NP	I-NP
financial	JJ	I-NP	I-NP
officer	NN	I-NP	I-NP
,	,	O	O
John	NNP	B-NP	B-NP
C.	NNP	I-NP	I-NP
Pope	NNP	I-NP	I-NP
.	.	O	O

On	IN	B-PP	B-PP
a	DT	B-NP	B-NP
day	NN	I-NP	I-NP
some	DT	B-NP	I-NP
United	NNP	I-NP	I-NP
Airlines	NNPS	I-NP	I-NP
employees	NNS	I-NP	I-NP
wanted	VBD	B-VP	I-NP
Mr.	NNP	B-NP	I-NP
Wolf	NNP	I-NP	I-NP
fired	VBD	B-VP	I-NP
and	CC	O	I-NP
takeover	NN	B-NP	I-NP
stock	NN	I-NP	I-NP
speculators	NNS	I-NP	I-NP
wanted	VBD	B-VP	I-NP
his	PRP$	B-NP	I-NP
scalp	NN	I-NP	I-NP
,	,	O	O
Messrs.	NNP	B-NP	B-NP
Wolf	NNP	I-NP	I-NP
and	CC	I-NP	I-NP
Pope	NNP	I-NP	I-NP
saw	VBD	B-VP	B-VP
their	PRP$	B-NP	B-NP
prospective	JJ	I-NP	I-NP
personal	JJ	I-NP	I-NP
fortunes	NNS	I-NP	I-NP
continue	VBP	B-VP	B-VP
to	TO	I-VP	I-VP
plummet	VB	I-VP	I-VP
as	IN	B-SBAR	B-NP
shares	NNS	B-NP	I-NP
of	IN	B-PP	B-PP
UAL	NNP	B-NP	B-NP
,	,	O	O
United	NNP	B-NP	B-VP
's	POS	B-NP	B-NP
parent	NN	I-NP	I-NP
company	NN	I-NP	I-NP
,	,	O	O
dived	VBD	B-VP	B-NP
$	$	B-NP	I-NP
24.875	CD	I-NP	I-NP
on	IN	B-PP	B-PP
the	DT	B-NP	B-NP
Big	NNP	I-NP	I-NP
Board	NNP	I-NP	B-VP
to	TO	B-VP	I-VP
close	VB	I-VP	I-VP
at	IN	B-PP	B-PP
$	$	B-NP	B-NP
198	CD	I-NP	I-NP
.	.	O	O

Including	VBG	O	B-NP
Monday	NNP	B-NP	I-NP
's	POS	B-NP	B-NP
plunge	NN	I-NP	I-NP
,	,	O	O
that	WDT	B-NP	B-NP
has	VBZ	B-VP	B-VP
given	VBN	I-VP	I-VP
the	DT	B-NP	B-NP
two	CD	I-NP	I-NP
executives	NNS	I-NP	I-NP
paper	NN	B-NP	I-NP
losses	NNS	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
49.5	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
based	VBN	B-VP	B-NP
on	IN	B-PP	B-PP
what	WP	B-NP	B-NP
they	PRP	B-NP	I-NP
would	MD	B-VP	I-NP
have	VB	I-VP	B-VP
realized	VBN	I-VP	I-VP
had	VBN	O	B-PP
the	DT	B-NP	B-NP
pilots	NNS	I-NP	I-NP
and	CC	I-NP	I-NP
management-led	JJ	I-NP	I-NP
buy-out	NN	I-NP	I-NP
of	IN	B-PP	B-PP
UAL	NNP	B-NP	B-NP
gone	VBN	B-VP	I-NP
through	IN	B-ADVP	I-NP
at	IN	B-PP	B-PP
$	$	B-NP	B-NP
300	CD	I-NP	I-NP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
.	.	O	O

When	WRB	B-ADVP	B-NP
bank	NN	B-NP	I-NP
financing	NN	I-NP	I-NP
for	IN	B-PP	B-PP
the	DT	B-NP	B-NP
buy-out	NN	I-NP	I-NP
collapsed	VBD	B-VP	I-NP
last	JJ	B-NP	I-NP
week	NN	I-NP	I-NP
,	,	O	O
so	RB	B-ADVP	B-NP
did	VBD	O	I-NP
UAL	NNP	B-NP	I-NP
's	POS	B-NP	B-NP
stock	NN	I-NP	I-NP
.	.	O	O

Even	RB	B-ADVP	B-NP
if	IN	B-SBAR	B-PP
the	DT	B-NP	B-NP
banks	NNS	I-NP	I-NP
resurrect	VBP	B-VP	B-VP
a	DT	B-NP	B-NP
financing	NN	I-NP	I-NP
package	NN	I-NP	I-NP
at	IN	B-PP	B-PP
$	$	B-NP	B-NP
250	CD	I-NP	I-NP
a	DT	B-NP	B-NP
share	NN	I-NP	I-NP
,	,	O	O
the	DT	B-NP	B-NP
two	CD	I-NP	I-NP
executives	NNS	I-NP	I-NP
would	MD	B-VP	I-NP
still	RB	I-VP	I-NP
get	VB	I-VP	B-PP
about	RB	B-NP	B-NP
$	$	I-NP	I-NP
25	CD	I-NP	I-NP
million	CD	I-NP	I-NP
less	JJR	B-NP	I-NP
than	IN	B-SBAR	B-PP
they	PRP	B-NP	B-NP
stood	VBD	B-VP	B-VP
to	TO	I-VP	I-VP
gain	VB	I-VP	I-VP
in	IN	B-PP	B-PP
the	DT	B-NP	B-NP
initial	JJ	I-NP	I-NP
transaction	NN	I-NP	I-NP
.	.	O	O

Mr.	NNP	B-NP	B-NP
Wolf	NNP	I-NP	I-NP
owns	VBZ	B-VP	I-NP
75,000	CD	B-NP	I-NP
UAL	NNP	I-NP	I-NP
shares	NNS	I-NP	I-NP
and	CC	O	O
has	VBZ	B-VP	B-VP
options	NNS	B-NP	I-VP
to	TO	B-VP	I-VP
buy	VB	I-VP	I-VP
another	DT	B-NP	B-NP
250,000	CD	I-NP	I-NP
at	IN	B-PP	B-PP
$	$	B-NP	B-NP
83.3125	CD	I-NP	I-NP
each	DT	B-NP	I-NP
.	.	O	O

In	IN	B-PP	B-PP
the	DT	B-NP	B-NP
$	$	I-NP	I-NP
300-a-share	JJ	I-NP	I-NP
buyout	NN	I-NP	I-NP
,	,	O	O
that	WDT	B-NP	B-NP
totaled	VBD	B-VP	B-VP
about	RB	B-NP	B-NP
$	$	I-NP	I-NP
76.7	CD	I-NP	I-NP
million	CD	I-NP	I-NP
.	.	O	O

By	IN	B-PP	B-NP
yesterday	NN	B-NP	I-NP
's	POS	B-NP	B-NP
close	NN	I-NP	I-NP
of	IN	B-PP	B-PP
trading	NN	B-NP	B-NP
,	,	O	O
it	PRP	B-NP	B-NP
was	VBD	B-VP	B-VP
good	JJ	B-ADJP	I-VP
for	IN	B-PP	B-PP
a	DT	B-NP	B-NP
paltry	JJ	I-NP	I-NP
$	$	I-NP	I-NP
43.5	CD	I-NP	I-NP
million	CD	I-NP	I-NP
.	.	O	O

Of	IN	B-PP	B-NP
course	NN	B-NP	I-NP
,	,	O	O
Mr.	NNP	B-NP	B-NP
Wolf	NNP	I-NP	I-NP
,	,	O	O
48	CD	B-NP	B-NP
years	NNS	I-NP	I-NP
old	JJ	B-ADJP	I-NP
,	,	O	O
has	VBZ	B-VP	B-VP
some	DT	B-NP	B-NP
savings	NNS	I-NP	I-NP
.	.	O	O

He	PRP	B-NP	B-NP
left	VBD	B-VP	I-NP
his	PRP$	B-NP	I-NP
last	JJ	I-NP	I-NP
two	CD	I-NP	I-NP
jobs	NNS	I-NP	I-NP
at	IN	B-PP	B-PP
Republic	NNP	B-NP	B-NP
Airlines	NNPS	I-NP	I-NP
and	CC	O	I-NP
Flying	NNP	B-NP	I-NP
Tiger	NNP	I-NP	I-NP
with	IN	B-PP	B-PP
combined	VBN	B-NP	B-NP
stock-option	NN	I-NP	I-NP
gains	NNS	I-NP	I-NP
of	IN	B-PP	B-PP
about	RB	B-NP	B-NP
$	$	I-NP	I-NP
22	CD	I-NP	I-NP
million	CD	I-NP	I-NP
,	,	O	O
and	CC	O	O
UAL	NNP	B-NP	B-NP
gave	VBD	B-VP	I-NP
him	PRP	B-NP	B-VP
a	DT	B-NP	B-NP
$	$	I-NP	I-NP
15	CD	I-NP	I-NP
million	CD	I-NP	I-NP
bonus	NN	I-NP	I-NP
when	WRB	B-ADVP	B-VP
it	PRP	B-NP	B-NP
hired	VBD	B-VP	I-NP
him	PRP	B-NP	I-NP
.	.	O	O

His	PRP$	B-NP	B-NP
1988	CD	I-NP	I-NP
salary	NN	I-NP	I-NP
was	VBD	B-VP	I-NP
$	$	B-NP	I-NP
575,000	CD	I-NP	I-NP
,	,	O	O
with	IN	B-PP	B-PP
a	DT	B-NP	B-NP
$	$	I-NP	I-NP
575,000	CD	I-NP	I-NP
bonus	NN	I-NP	I-NP
.	.	O	O

The	DT	B-NP	B-NP
40-year	JJ	I-NP	I-NP
old	JJ	I-NP	I-NP
Mr.	NNP	I-NP	I-NP
Pope	NNP	I-NP	I-NP
has	VBZ	B-VP	B-VP
n't	RB	I-VP	I-VP
changed	VBN	I-VP	I-VP
jobs	NNS	B-NP	B-NP
enough	RB	B-ADVP	I-NP
--	:	O	I-NP
at	IN	B-PP	I-NP
least	JJS	B-ADJP	B-PP
the	DT	B-NP	B-NP
right	NN	I-NP	I-NP
ones	NNS	I-NP	I-NP
--	:	O	B-VP
to	TO	B-VP	I-VP
stash	VB	I-VP	I-VP
away	RB	B-ADVP	I-VP
that	DT	B-NP	B-NP
kind	NN	I-NP	I-NP
of	IN	B-PP	B-PP
money	NN	B-NP	B-NP
.	.	O	O

United	NNP	B-NP	B-NP
paid	VBD	B-VP	I-NP
him	PRP	B-NP	B-VP
a	DT	B-NP	B-NP
$	$	I-NP	I-NP
375,000	CD	I-NP	I-NP
bonus	NN	I-NP	B-VP
to	TO	B-VP	I-VP
lure	VB	I-VP	I-VP
him	PRP	B-NP	B-NP
away	RB	B-PP	I-NP
from	IN	B-PP	B-PP
American	NNP	B-NP	B-NP
Airlines	NNPS	I-NP	I-NP
,	,	O	O
and	CC	O	O
he	PRP	B-NP	B-NP
was	VBD	B-VP	B-VP
paid	VBN	I-VP	I-VP
a	DT	B-NP	B-NP
salary	NN	I-NP	I-NP
of	IN	B-PP	B-PP
$	$	B-NP	B-NP
342,122	CD	I-NP	I-NP
last	JJ	B-NP	I-NP
year	NN	I-NP	I-NP
with	IN	B-PP	B-PP
a	DT	B-NP	B-NP
$	$	I-NP	I-NP
280,000	CD	I-NP	I-NP
bonus	NN	I-NP	I-NP
.	.	O	O

Mr.	NNP	B-NP	B-NP
Pope	NNP	I-NP	I-NP
owns	VBZ	B-VP	I-NP
10,000	CD	B-NP	I-NP
UAL	NNP	I-NP	I-NP
shares	NNS	I-NP	I-NP
and	CC	O	O
has	VBZ	B-VP	B-VP
options	NNS	B-NP	I-VP
to	TO	B-VP	I-VP
buy	VB	I-VP	I-VP
another	DT	B-NP	B-NP
150,000	CD	I-NP	I-NP
at	IN	B-PP	B-PP
$	$	B-NP	B-NP
69	CD	I-NP	I-NP
each	DT	B-NP	I-NP
.	.	O	O

That	DT	B-NP	B-NP
came	VBD	B-VP	I-NP
to	TO	B-PP	B-PP
a	DT	B-NP	B-NP
combined	VBN	I-NP	I-NP
$	$	I-NP	I-NP
37.7	CD	I-NP	I-NP
million	CD	I-NP	I-NP
under	IN	B-PP	B-PP
the	DT	B-NP	B-NP
$	$	I-NP	I-NP
300-a-share	JJ	I-NP	I-NP
buy-out	NN	I-NP	I-NP
,	,	O	O
but	CC	O	O
just	RB	B-NP	B-NP
$	$	I-NP	I-NP
21.3	CD	I-NP	I-NP
million	CD	I-NP	I-NP
at	IN	B-PP	B-PP
yesterday	NN	B-NP	B-NP
's	POS	B-NP	B-NP
close	NN	I-NP	I-NP
.	.	O	O

Of	IN	B-PP	B-PP
the	DT	B-NP	B-NP
combined	VBN	I-NP	I-NP
$	$	I-NP	I-NP
114.4	CD	I-NP	I-NP
million	CD	I-NP	B-PP
the	DT	B-NP	B-NP
two	CD	I-NP	I-NP
men	NNS	I-NP	I-NP
were	VBD	B-VP	I-NP
scheduled	VBN	I-VP	B-VP
to	TO	I-VP	I-VP
reap	VB	I-VP	I-VP
under	IN	B-PP	B-PP
the	DT	B-NP	B-NP
buy-out	NN	I-NP	I-NP
,	,	O	O
